Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
HICHAM,tvui,profilesGate,,,2024-12-01 10:07:04
HICHAM,tvui,movieDetails,,,2024-11-24 17:11:45
HICHAM,tvui,playback,,,2024-11-24 17:11:45
HICHAM,tvui,browseTitles,,,2024-11-24 17:11:33
HICHAM,tvui,movieDetails,,,2024-11-24 17:11:33
HICHAM,tvui,profilesGate,,,2024-11-24 17:11:27
HICHAM,tvui,browseTitles,,,2024-11-24 17:11:27
HICHAM,tvui,browseTitles,,,2024-11-24 16:46:12
HICHAM,tvui,exitDialog,,,2024-11-24 16:46:12
HICHAM,tvui,movieDetails,,,2024-11-24 16:45:52
HICHAM,tvui,browseTitles,,,2024-11-24 16:45:52
HICHAM,tvui,playback,,,2024-11-24 16:45:50
HICHAM,tvui,movieDetails,,,2024-11-24 16:45:50
HICHAM,tvui,movieDetails,,,2024-11-24 16:31:55
HICHAM,tvui,playback,,,2024-11-24 16:31:55
HICHAM,tvui,browseTitles,,,2024-11-24 16:31:52
HICHAM,tvui,movieDetails,,,2024-11-24 16:31:52
HICHAM,tvui,profilesGate,,,2024-11-24 16:31:49
HICHAM,tvui,browseTitles,,,2024-11-24 16:31:49
HICHAM,tvui,browseTitles,,,2024-11-24 16:28:58
HICHAM,tvui,search,,,2024-11-24 16:28:58
HICHAM,tvui,profilesGate,,,2024-11-24 16:28:20
HICHAM,tvui,browseTitles,,,2024-11-24 16:28:20
HICHAM,tvui,movieDetails,,,2024-11-24 13:44:28
HICHAM,tvui,search,,,2024-11-24 13:44:28
HICHAM,tvui,episodesSelector,,,2024-11-24 13:44:26
HICHAM,tvui,movieDetails,,,2024-11-24 13:44:26
HICHAM,tvui,movieDetails,,,2024-11-24 13:43:51
HICHAM,tvui,episodesSelector,,,2024-11-24 13:43:51
HICHAM,tvui,movieDetails,,,2024-11-24 13:43:20
HICHAM,tvui,search,,,2024-11-24 13:43:20
HICHAM,tvui,movieDetails,,,2024-11-24 13:42:58
HICHAM,tvui,search,,,2024-11-24 13:42:58
HICHAM,tvui,playback,,,2024-11-24 13:42:52
HICHAM,tvui,movieDetails,,,2024-11-24 13:42:52
HICHAM,tvui,movieDetails,,,2024-11-24 13:12:21
HICHAM,tvui,playback,,,2024-11-24 13:12:21
HICHAM,tvui,playback,,,2024-11-24 13:11:48
HICHAM,tvui,movieDetails,,,2024-11-24 13:11:48
HICHAM,tvui,movieDetails,,,2024-11-24 12:49:59
HICHAM,tvui,playback,,,2024-11-24 12:49:59
HICHAM,tvui,movieDetails,,,2024-11-24 12:49:52
HICHAM,tvui,search,,,2024-11-24 12:49:52
HICHAM,tvui,browseTitles,,,2024-11-24 12:48:47
HICHAM,tvui,search,,,2024-11-24 12:48:47
HICHAM,tvui,profilesGate,,,2024-11-24 12:48:26
HICHAM,tvui,browseTitles,,,2024-11-24 12:48:26
HICHAM,tvui,profilesGate,,,2024-11-24 11:54:32
HICHAM,tvui,exitDialog,,,2024-11-23 23:02:52
HICHAM,tvui,search,,,2024-11-23 23:02:52
HICHAM,tvui,movieDetails,,,2024-11-23 23:02:44
HICHAM,tvui,search,,,2024-11-23 23:02:44
HICHAM,tvui,playback,,,2024-11-23 23:02:43
HICHAM,tvui,movieDetails,,,2024-11-23 23:02:43
HICHAM,tvui,exitDialog,,,2024-11-23 23:02:39
HICHAM,tvui,playback,,,2024-11-23 23:02:39
HICHAM,tvui,playback,,,2024-11-23 23:02:36
HICHAM,tvui,exitDialog,,,2024-11-23 23:02:36
HICHAM,tvui,movieDetails,,,2024-11-23 22:48:09
HICHAM,tvui,playback,,,2024-11-23 22:48:09
HICHAM,tvui,playback,,,2024-11-23 22:48:03
HICHAM,tvui,movieDetails,,,2024-11-23 22:48:03
HICHAM,tvui,postPlay,,,2024-11-23 22:27:33
HICHAM,tvui,playback,,,2024-11-23 22:27:33
HICHAM,tvui,playback,,,2024-11-23 22:27:31
HICHAM,tvui,postPlay,,,2024-11-23 22:27:31
HICHAM,tvui,episodesSelector,,,2024-11-23 22:22:38
HICHAM,tvui,playback,,,2024-11-23 22:22:38
HICHAM,tvui,movieDetails,,,2024-11-23 22:22:27
HICHAM,tvui,episodesSelector,,,2024-11-23 22:22:27
HICHAM,tvui,search,,,2024-11-23 22:22:19
HICHAM,tvui,movieDetails,,,2024-11-23 22:22:19
HICHAM,tvui,playback,,,2024-11-23 22:22:18
HICHAM,tvui,movieDetails,,,2024-11-23 22:22:18
HICHAM,tvui,search,,,2024-11-23 22:22:16
HICHAM,tvui,movieDetails,,,2024-11-23 22:22:16
HICHAM,tvui,postPlay,,,2024-11-23 22:21:19
HICHAM,tvui,playback,,,2024-11-23 22:21:19
HICHAM,tvui,playback,,,2024-11-23 22:21:13
HICHAM,tvui,postPlay,,,2024-11-23 22:21:13
HICHAM,tvui,episodesSelector,,,2024-11-23 22:20:00
HICHAM,tvui,playback,,,2024-11-23 22:20:00
HICHAM,tvui,movieDetails,,,2024-11-23 22:19:37
HICHAM,tvui,episodesSelector,,,2024-11-23 22:19:37
HICHAM,tvui,search,,,2024-11-23 22:19:30
HICHAM,tvui,movieDetails,,,2024-11-23 22:19:30
HICHAM,tvui,movieDetails,,,2024-11-23 22:18:59
HICHAM,tvui,search,,,2024-11-23 22:18:59
HICHAM,tvui,playback,,,2024-11-23 22:18:58
HICHAM,tvui,movieDetails,,,2024-11-23 22:18:58
HICHAM,tvui,movieDetails,,,2024-11-23 22:16:53
HICHAM,tvui,playback,,,2024-11-23 22:16:53
HICHAM,tvui,search,,,2024-11-23 22:16:46
HICHAM,tvui,movieDetails,,,2024-11-23 22:16:46
HICHAM,tvui,browseTitles,,,2024-11-23 22:16:25
HICHAM,tvui,search,,,2024-11-23 22:16:25
HICHAM,tvui,profilesGate,,,2024-11-23 22:16:09
HICHAM,tvui,browseTitles,,,2024-11-23 22:16:09
HICHAM,tvui,browseTitles,,,2024-11-23 22:16:06
HICHAM,tvui,profilesGate,,,2024-11-23 22:16:06
HICHAM,tvui,profilesGate,,,2024-11-23 22:14:58
HICHAM,tvui,browseTitles,,,2024-11-23 22:14:58
HICHAM,tvui,playback,,,2024-11-23 22:01:26
HICHAM,tvui,movieDetails,,,2024-11-23 22:01:26
HICHAM,tvui,episodesSelector,,,2024-11-23 21:04:08
HICHAM,tvui,playback,,,2024-11-23 21:04:08
HICHAM,tvui,movieDetails,,,2024-11-23 21:03:52
HICHAM,tvui,episodesSelector,,,2024-11-23 21:03:52
HICHAM,tvui,search,,,2024-11-23 21:03:40
HICHAM,tvui,movieDetails,,,2024-11-23 21:03:40
HICHAM,tvui,browseTitles,,,2024-11-23 21:02:58
HICHAM,tvui,search,,,2024-11-23 21:02:58
HICHAM,tvui,browseTitles,,,2024-11-23 21:02:34
HICHAM,tvui,playback,,,2024-11-23 21:02:34
HICHAM,tvui,browseTitles,,,2024-11-23 21:02:25
HICHAM,tvui,playback,,,2024-11-23 21:02:25
HICHAM,tvui,profilesGate,,,2024-11-23 21:02:12
HICHAM,tvui,browseTitles,,,2024-11-23 21:02:12
HICHAM,www,playback,/watch/81647023?trackId=14170286,/watch/81647024?trackId=155573560,2024-11-17 00:32:05
HICHAM,www,playback,/watch/81647024?trackId=155573560,/watch/81647025?trackId=155573560,2024-11-17 00:32:05
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=2%2C0%2C0bc492fa-a931-4735-9994-5a0edbbc269c-154670063%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-540201C672_p_1731797152189%2CNES_DC4E0FB57071175540631B492DD90F_p_1731797147232%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647023?trackId=14170286,2024-11-16 23:44:25
HICHAM,www,playback,/watch/81647023?trackId=14170286,/watch/81647024?trackId=155573560,2024-11-16 23:44:25
HICHAM,www,browseTitles,,/browse,2024-11-16 22:46:34
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=2%2C0%2C0bc492fa-a931-4735-9994-5a0edbbc269c-154670063%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-540201C672_p_1731797152189%2CNES_DC4E0FB57071175540631B492DD90F_p_1731797147232%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-16 22:46:34
HICHAM,www,playback,/browse,/watch/80236318?trackId=14170286&tctx=2%2C0%2C0bc492fa-a931-4735-9994-5a0edbbc269c-154670063%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-540201C672_p_1731797152189%2CNES_DC4E0FB57071175540631B492DD90F_p_1731797147232%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-11-16 22:46:34
HICHAM,www,playback,/watch/80236318?trackId=14170286&tctx=2%2C0%2C0bc492fa-a931-4735-9994-5a0edbbc269c-154670063%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-540201C672_p_1731797152189%2CNES_DC4E0FB57071175540631B492DD90F_p_1731797147232%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647023?trackId=14170286,2024-11-16 22:46:34
HICHAM,www,profilesGate,,/browse,2024-11-16 22:45:53
HICHAM,www,browseTitles,,/browse,2024-11-16 22:45:53
HICHAM,www,playback,/browse?jbv=81522570,/watch/81686454?trackId=14170287&tctx=1%2C0%2C9e8fc697-1ddf-4b4a-9176-fe0fd9212d36-4913544%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-53DB34D521_p_1731713426294%2C%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,2024-11-15 23:40:45
HICHAM,www,playback,/watch/81686454?trackId=14170287&tctx=1%2C0%2C9e8fc697-1ddf-4b4a-9176-fe0fd9212d36-4913544%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-53DB34D521_p_1731713426294%2C%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,/watch/81686455?trackId=155573560,2024-11-15 23:40:45
HICHAM,www,browseTitles,/browse,/browse?jbv=81522570,2024-11-15 23:30:39
HICHAM,www,playback,/browse?jbv=81522570,/watch/81686454?trackId=14170287&tctx=1%2C0%2C9e8fc697-1ddf-4b4a-9176-fe0fd9212d36-4913544%2CNES_DC4E0FB57071175540631B492DD90F-994911DC4F528C-53DB34D521_p_1731713426294%2C%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,2024-11-15 23:30:39
HICHAM,www,browseTitles,,/browse,2024-11-15 23:30:35
HICHAM,www,browseTitles,/browse,/browse?jbv=81522570,2024-11-15 23:30:35
HICHAM,www,profilesGate,,/browse,2024-11-15 23:30:26
HICHAM,www,browseTitles,,/browse,2024-11-15 23:30:26
HICHAM,www,profilesGate,,/browse,2024-11-15 22:50:00
HICHAM,www,browseTitles,,/browse,2024-11-15 22:50:00
HICHAM,www,playback,/watch/81686452?trackId=155573560,/watch/81686453?trackId=155573558,2024-11-11 01:15:28
HICHAM,www,playback,/watch/81686453?trackId=155573558,/watch/81686454?trackId=155573560,2024-11-11 01:15:28
HICHAM,www,playback,/watch/81686451?trackId=251769321&tctx=0%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2C%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,/watch/81686452?trackId=155573560,2024-11-10 22:57:46
HICHAM,www,playback,/watch/81686452?trackId=155573560,/watch/81686453?trackId=155573558,2024-11-10 22:57:46
HICHAM,www,playback,/browse?jbv=81522570,/watch/81686451?trackId=251769321&tctx=0%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2C%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,2024-11-10 22:05:34
HICHAM,www,playback,/watch/81686451?trackId=251769321&tctx=0%2C0%2C91d7953f-2483-4c5f-ad0b-d94329a9ca04-285593644%2C%2CNES_DC4E0FB57071175540631B492DD90F_p_1731273865731%2C%2C%2C%2C%2CVideo%3A81522570%2CdetailsPagePlayButton,/watch/81686452?trackId=155573560,2024-11-10 22:05:34
HICHAM,www,movieDetails,/browse,/browse?jbv=81522570,2024-11-10 21:25:36
