Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,NFCDCH-AP-L8RVMX9Q0E3KWARF1QFTKW6YWGJW34,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,Android DefaultWidevineL3Phone Android Phone,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2022-10-23T21:09:48.049,2024-12-02T16:17:33.312,2023-02-01T21:13:39.256
HICHAM,NFCDIE-03-LA89RGU7718YPK9DGHCXR6NY8V8471,Edge OSS - Windows (Cadmium),2024-07-26T22:46:52.324,2024-11-29T19:22:46.753,2024-07-26T22:48:07.054,2024-11-24T00:55:42.543,2024-07-26T22:46:52.324,2024-11-29T19:22:46.753,2024-07-26T22:48:07.054,2024-11-24T00:55:42.543,1970-01-01T00:00:00.000
HICHAM,SSTV-NVT5-0000000000000014773308,Samsung 2015 NT14M DTV Smart TV,2020-03-25T23:33:46.580,2024-11-24T17:11:47.840,2020-05-21T18:43:11.584,2024-11-24T17:11:47.840,2020-03-25T23:33:46.580,2024-11-24T17:11:47.840,2020-05-21T18:43:11.584,2024-11-24T17:11:47.840,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-LJ89Z6UN12LMAW2323NM2T5E6PGCHW,Netflix Chrome MAC (Cadmium) HTML 5,2024-10-19T21:43:40.832,2024-11-17T00:32:05.129,2024-10-19T21:43:40.832,2024-11-16T23:44:25.505,2024-10-19T21:43:40.832,2024-11-17T00:32:05.129,2024-10-19T21:43:40.832,2024-11-16T23:44:25.505,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-L4WXZMDGRVTC85A9DNKEN9A1UC9QYA,Chrome PC (Cadmium),2024-05-22T22:57:05.571,2024-10-30T16:46:46.420,2024-10-30T16:02:52.688,2024-10-30T16:46:46.420,2024-05-22T22:57:05.571,2024-10-30T16:46:46.420,2024-10-30T16:02:52.688,2024-10-30T16:46:46.420,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-LK4P28KFNQJTRE2EDA85TJUU4962J9,Chrome PC (Cadmium),2024-10-30T16:01:34.496,2024-10-30T16:01:34.496,,,2024-10-30T16:01:34.496,2024-10-30T16:01:34.496,,,1970-01-01T00:00:00.000
HICHAM,NFCDIE-03-LHW8U140TECYJ4H0U0JE4K1TF3U4U9,Edge OSS - Windows (Cadmium),2024-10-18T14:10:22.879,2024-10-18T14:21:42.271,2024-10-18T14:10:35.907,2024-10-18T14:10:35.907,2024-10-18T14:10:22.879,2024-10-18T14:21:42.271,2024-10-18T14:10:35.907,2024-10-18T14:10:35.907,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-LJ4VFXGUKCG2LK9DUNRR7WDTE11XLM,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDIE-03-LETMHD74DG1XNLVT708LLAQKFNPA8Y,Edge OSS - Windows (Cadmium),2024-09-07T22:25:08.953,2024-10-13T15:33:48.536,2024-09-07T22:25:29.544,2024-10-13T15:33:48.536,2024-09-07T22:25:08.953,2024-10-13T15:33:48.536,2024-09-07T22:25:29.544,2024-10-13T15:33:48.536,1970-01-01T00:00:00.000
HICHAM,NFAPPL-02-IPHONE13=2-294B5ACB1FBFF88D3EFFEDB98FF00A15B2CE582E61A41257854DF41C6FDD0306,iPhone 12,2023-09-26T01:06:56.598,2024-09-30T01:38:32.984,2023-10-29T02:43:57.884,2024-09-29T01:05:26.920,2023-09-26T01:06:56.598,2024-09-30T01:38:32.984,2023-10-29T02:43:57.884,2024-09-29T01:05:26.920,2024-08-11T23:52:49.392
HICHAM,NFUWA-001-9403DEC498EC7AAF285B48FCB103DBB9B8DA307A8F5066B5EEB50BC4D8E1E04665AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2024-05-23T17:51:46.388,2024-07-20T00:36:06.875,2024-05-23T18:13:35.256,2024-06-20T17:49:24.433,2024-05-23T17:51:46.388,2024-07-20T00:36:06.875,2024-05-23T18:13:35.256,2024-06-20T17:49:24.433,1970-01-01T00:00:00.000
HICHAM,SSTV-KS20-0000000000000017851850,Samsung CE 2020 Kant-S2 DTV Smart TV,2024-07-08T14:44:11.684,2024-07-14T00:09:06.384,2024-07-08T14:44:44.270,2024-07-14T00:09:06.384,2024-07-08T14:44:11.684,2024-07-14T00:09:06.384,2024-07-08T14:44:44.270,2024-07-14T00:09:06.384,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-9E9119EAB982141790375CE3DD95E2148ACCA30256793134E287F5D124180DBE,Android DefaultWidevineL3Phone Android Phone,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,2023-10-08T01:08:54.724,2023-10-08T01:42:02.563,1970-01-01T00:00:00.000
HICHAM,NFUWA-001-6EA8F48AB6EFB4F2C1C5785DE18B88F498594DF6A786D57F72DB3902C1F54AC8,Netflix Windows App - Cadmium Windows Mobile,2024-01-12T22:35:41.470,2024-05-18T13:57:54.847,2024-01-12T22:53:07.592,2024-05-18T13:57:54.847,2024-01-12T22:35:41.470,2024-05-18T13:57:54.847,2024-01-12T22:53:07.592,2024-05-18T13:57:54.847,1970-01-01T00:00:00.000
HICHAM,NFUWA-001-0B2AD487A619F779D25CA1FA2B424AFE442A74BA25F2EC09585CC837A1C1379465AEC4F4A43F1EBC5AA9BEBC1D4E6F1CC8D151268EA0D36B7297F09B3DD1127D,Netflix Windows App - Cadmium Windows Mobile,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,2021-08-31T17:01:17.132,2024-05-16T21:47:50.028,2021-08-31T17:01:17.132,2024-05-08T18:17:45.859,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-L3-SAMSUSM-I9195-4445-0J8F75FZPMTOC0URCXKN0STY22YGO3OGSI0WRKKVMTXT72P0PKHJKYP1S0G69LJEA,Google Nexus 7,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDOT-PH-L3R4GEK0786R8PG1JD1XEERAYAX9NX,Netflix iPhone Other iPhone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDSF-PH-L3R47ZUYEA7RXNAEK4A092LXEEHENY,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
