Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2001:861:44c0:d760:1548:dd2e:71d0:d72f,FR,Provence-Alpes-Cote-D'azur,NICE,2024-12-01 13:28:04
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,41.249.64.36,MA,Tanger-tetouan-al Hoceima,CHEFCHAOUEN,2024-07-13 10:04:57
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1061:a224:0:6:417:2101,FR,Auvergne-Rhone-Alpes,LYON,2024-09-22 15:22:48
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1064:39d1:0:4b:d797:401,FR,Auvergne-Rhone-Alpes,LYON,2024-11-25 18:46:17
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,134.214.214.219,FR,Auvergne-Rhone-Alpes,LYON,2024-11-12 15:48:08
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1079:f377:0:58:86db:9a01,FR,Auvergne-Rhone-Alpes,LYON,2024-10-10 08:53:31
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a01:cb1d:6e3:7c00:91a1:5f9:a64c:5b69,FR,Provence-Alpes-Cote-D'azur,ANTIBES,2024-03-29 04:13:26
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,80.214.210.80,FR,Auvergne-Rhone-Alpes,VILLEURBANNE,2024-02-15 14:18:37
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,134.214.214.200,FR,Auvergne-Rhone-Alpes,LYON,2024-09-05 14:22:56
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,41.142.100.78,MA,Tanger-tetouan-al Hoceima,KSAR EL KEBIR,2024-08-19 19:24:30
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,134.214.214.141,FR,Auvergne-Rhone-Alpes,LYON,2024-11-18 15:57:12
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,134.214.214.218,FR,Auvergne-Rhone-Alpes,LYON,2024-10-18 14:20:24
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1070:cf47:0:6:409:9901,FR,Auvergne-Rhone-Alpes,ANNECY,2024-09-22 09:20:02
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,196.89.235.148,MA,Tanger-tetouan-al Hoceima,TETOUAN,2024-08-18 16:24:37
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:106c:41af:0:5c:cbc7:e201,FR,Auvergne-Rhone-Alpes,BOURG-EN-BRESSE,2024-10-19 16:26:29
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a01:e0a:37b:840:746a:a499:15ef:5c74,FR,Ile-De-France,PARIS,2024-08-21 00:10:07
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:c01d:d6c9:0:28:acaa:b201,FR,Pays-De-La-Loire,LA ROCHE-SUR-YON,2024-09-04 23:44:47
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:11a7:dfa7:0:13:7882:af01,FR,Provence-Alpes-Cote-D'azur,LA SEYNE-SUR-MER,2024-02-07 19:05:22
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:106a:dfb6:0:5d:8e5e:b001,FR,Bourgogne-Franche-Comte,MACON,2024-06-29 21:53:32
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:c023:b36b:0:28:9685:801,FR,Ile-De-France,PARIS,2024-09-21 10:43:12
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1076:e104:0:58:86eb:5001,FR,Auvergne-Rhone-Alpes,ROANNE,2024-10-10 17:03:36
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,91.173.236.33,FR,Ile-De-France,PARIS,2024-08-23 01:41:57
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1071:4dc2:0:22:eae2:2501,FR,Auvergne-Rhone-Alpes,CHAMELET,2024-05-15 20:44:05
NFANDROID1-PRV-P-L3-SAMSUSM-A515F-8158-72098A0BBD362C1245E88EE339B0E86F6CDE1E7A072F98C1A22D2588A6834A64,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-A515F_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,2a04:cec0:1071:b4e8:0:67:9abf:1401,FR,Auvergne-Rhone-Alpes,LYON,2024-11-24 02:44:30
